publishedAt,authorDisplayName,textDisplay,likeCount
2024-10-28T15:21:03Z,@qudsiabilqish5950,"Asli kaget bgttttt, dah lama ga lihat anggaa, sekalinya muncul , muncul di yt bang jer diajakin collab mtk dan wajahnya angga udh gk baby face lagi woyyy",8
2024-10-28T15:19:19Z,@hafidardiansyah7360,Undang el rumi dong. Soalnya banyak yg bilang dia pinter + gaya bicaranya mirip sama jerome 😂,18
2024-10-28T16:05:22Z,@ZakiAldian-hj3ik,Lagi sibuk pacaran dia,1
2024-10-29T13:30:47Z,@wdyaa569,​@@ZakiAldian-hj3ik nyari duit dulu dia di arisan,1
2024-10-28T15:16:40Z,@fitrilappa939,Kalian berdua mirip,1
2024-10-28T15:16:18Z,@dewiretno9292,Undang Prilly dong 😂😂😂,0
2024-10-28T15:12:25Z,@Bends-ye7qx,Bang Jerome next Amanda manopo 😊👍,0
2024-10-28T15:12:06Z,@fadhillahahmad9317,Si angga kok malah kaya raditya dika ya😂 apa perasaan gua aja,0
2024-10-28T15:09:53Z,@agnesmutia4955,"ya ampun suami aku, angga yunanda",0
2024-10-28T15:03:47Z,@scorpios__,kya bukan angga bner&quot; ga ngeh,0
2024-10-28T15:03:07Z,@lutfiyahazizah631,"BANGGGG, AYOO UNDANG IQBAAL RAMADHAN DI KONTEN INIII PLEASE 😭😭😭😭",4
2024-10-29T00:56:34Z,@IpatNuryanti,"Nunggu promo film, tapi gimana PHP nya ga sih?",0
2024-10-28T15:02:42Z,@goguma04,Gila lancar banget Angga 👏👏👏 ikut bangga,0
2024-10-28T14:58:49Z,@tfdchemwer,"Angga pernah jd siswa teladan di mariposa,, sedikit banyak dia tahu lah ttg soal2 gt😅",0
2024-10-28T14:57:53Z,@tfdchemwer,"Angga pernah jd siswa teladan di mariposa,, sedikit banyak dia tahu lah ttg soal2 gt😅",6
2024-10-28T14:50:26Z,@azizarif88,Collab sama Jefri Nichol bang Jerome...😅😅pgen tau Jefri belajar matematika,0
2024-10-28T14:44:55Z,@raihanzakyansyah,Undang bang Fadil jaidi,1
2024-10-28T14:44:24Z,@nadiaikhwani4785,kirain bukan ka angga😂,1
2024-10-28T14:44:11Z,@InayatulAgam,"Anjirr kirain angga palsu, ragu banget buat nonton, beda bangettt wooyy",4
2024-10-28T14:38:56Z,@taufikrahman4672,Coba ajak abdur arsyad bang... Stand up komedian tp S2 matematika,247
2024-10-28T23:59:20Z,@abbybaok,"S2 Pendidikan Matematika. Beda kayaknya, walau ada ngitungnya.",3
2024-10-29T01:12:47Z,@yourforeverenemiee,@@abbybaoktapi tetep ngitung dong😭 kan matematika.,8
2024-10-29T04:36:05Z,@taufikrahman4672,@@abbybaok mungkin beda bang tp ttp aja matematikq 🤣... Gw juga pernh liat kontennya bg abdur ngomngin penalaran matematika... Yaa siapa tau cocok pas collab 😂😂,5
2024-10-29T07:09:49Z,@wanaboed,Wah nanti ga menarik lagi konten nya karena mereka bakal sibuk bikin rumus 😂,1
2024-10-28T14:38:51Z,@roudhotuljannah2767,Collab sama pacarku ceunahh,0
2024-10-28T14:34:18Z,@mirrorrr,Logika mat nya Angga keren...saluutt,10
2024-10-28T14:30:38Z,@lakinamikilopiko8206,Seru banget aku jadi paham soal-soal yang dikasihh😊,10
2024-10-28T14:29:10Z,@halymawynda1843,Angga soft spoken banget pls 😭🫶🏻,3
2024-10-28T14:28:46Z,@leeleevaa,seruuu banget jelas bangett jadi paham sambil coba ngerjain,3
2024-10-28T14:28:38Z,@marifatulkhoeriyah8974,dia pinter elu ternyata,0
2024-10-28T14:27:54Z,@putueni987,"My Annoying Brother adaptasi dr Film Korea yg judulnya sama. Kalau jalan ceritanya sama, sumpah pasti nangis sesenggukan. Terutama di akhir. Dulu yg main DO EXO",76
2024-10-29T10:22:31Z,@LalaViola-i4f,Bisa nonton di youtube gk kak 😂😂,0
2024-10-31T05:19:20Z,@Egar_evelynnn,Bener bangett,0
